Material(Class),Material(Family),Serial num,Cause P/No Desc.,Operation Hour,유형별,귀책별,Vendor Name,Region Name,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Decision
엔진4톤,DIV-D35/55S(C)7,FDB12-002885,"VALVE,MAIN CONTROL;4SEC",254,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),10.0,24.0,51.0,72.0,97.0,101.0,135.0,146.0,177.0,193.0,212.0,239.0,254.0,268.0,286.0,0
엔진2톤,DIV-D20/33SE7,FDA0P-001849,"VALVE ASSY,CONTROL;4SEC","1,922",Leak,부품,경원기업,Incheon-Korea(CS02),4.0,33.0,42.0,66.0,90.0,112.0,131.0,152.0,162.0,184.0,210.0,230.0,258.0,267.0,296.0,0
엔진2톤,DIV-D20/33SE7,FDA0R-015240,"VALVE,MAIN CONTROL;4SEC","1,245",Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),17.0,35.0,52.0,70.0,88.0,120.0,129.0,151.0,166.0,187.0,219.0,236.0,247.0,269.0,298.0,0
엔진2톤,DIV-G20/35E7,FGA1N-000294,"VALVE ASSY,CONTROL;4S,D25S",10,작동불량,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,4.0,29.0,42.0,74.0,94.0,101.0,122.0,143.0,171.0,182.0,206.0,225.0,242.0,261.0,300.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002544,"VALVE ASSY,CONTROL;4S,D25S",23,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,24.0,43.0,79.0,100.0,111.0,135.0,141.0,173.0,189.0,202.0,230.0,243.0,279.0,298.0,0
엔진2톤,DIV-D20/33SE7,FDA0P-001851,"VALVE,MAIN CONTROL;4SEC","1,995",Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,26.0,43.0,68.0,95.0,108.0,132.0,158.0,169.0,200.0,201.0,231.0,248.0,268.0,298.0,0
엔진2톤,DIV-G20/35E7,FGA1N-000548,VALVE GP-SECTION-AUX 2,94,간섭,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,17.0,26.0,42.0,67.0,94.0,119.0,140.0,141.0,180.0,191.0,213.0,229.0,245.0,271.0,287.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002317,"VALVE ASSY,CONTROL;3S",41,외관,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,17.0,26.0,55.0,78.0,93.0,108.0,128.0,141.0,167.0,182.0,201.0,222.0,252.0,275.0,287.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2C-000691,"VALVE,MAIN CONTROL;3 SPOOL",771,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),15.0,33.0,54.0,67.0,100.0,118.0,130.0,159.0,163.0,197.0,208.0,233.0,255.0,273.0,283.0,0
전동,DIV-B15/20T7P,FBA11-006036,VALVE ASSY;3SPOOL,235,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,20.0,21.0,54.0,76.0,90.0,109.0,134.0,156.0,169.0,190.0,203.0,225.0,245.0,261.0,293.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-000322,"VALVE,MAIN CONTROL;4SEC",63,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),18.0,38.0,54.0,78.0,92.0,103.0,138.0,148.0,161.0,194.0,203.0,229.0,258.0,264.0,292.0,0
엔진2톤,DIV-G20/35E7,FGA1N-000286,"VALVE ASSY,CONTROL;4S,D25S",263,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,28.0,45.0,75.0,93.0,118.0,140.0,145.0,168.0,187.0,218.0,222.0,248.0,265.0,284.0,0
엔진2톤,DIV-G20/35N7,FGA14-007683,"VALVE ASSY,CONTROL;3S","1,216",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,20.0,36.0,46.0,65.0,85.0,112.0,138.0,149.0,180.0,186.0,213.0,238.0,243.0,270.0,293.0,1
전동,DIV-BC20/32S7,FBA1B-000967,"VALVE ASSY;MCV-ISO-3S, B25X","1,016",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,19.0,22.0,42.0,65.0,88.0,109.0,126.0,143.0,173.0,184.0,216.0,226.0,253.0,261.0,299.0,1
엔진7톤,DIV-D50/90S7,FDB0W-000785,"VALVE,HYDRAULIC;COIL-24V","1,619",작동불량,부품,신성정밀(주),Incheon-DIVAC,19.0,31.0,53.0,68.0,88.0,116.0,127.0,149.0,166.0,194.0,212.0,233.0,247.0,280.0,295.0,1
엔진2톤,DIV-D20/35S(C)7,FDA24-000520,"VALVE ASSY,CONTROL;4S,D25S",625,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,16.0,35.0,57.0,76.0,94.0,120.0,134.0,144.0,174.0,191.0,202.0,225.0,245.0,261.0,297.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001513,"VALVE,MAIN CONTROL;4SEC",14,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),19.0,38.0,51.0,72.0,87.0,108.0,132.0,141.0,173.0,186.0,218.0,231.0,244.0,269.0,295.0,1
엔진4톤,DIV-D35/55S(C)7,FDB10-001174,VALVE ASSY;4SPOOL,100,작동불량,부품,KYB CORPORATION,Incheon-DIVAC,20.0,27.0,46.0,70.0,85.0,101.0,131.0,157.0,170.0,197.0,210.0,237.0,244.0,264.0,285.0,1
엔진2톤,DIV-G20/35N7,FGA15-002931,"VALVE ASSY,CONTROL;3S",151,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,16.0,30.0,54.0,73.0,99.0,107.0,137.0,141.0,179.0,192.0,209.0,233.0,260.0,274.0,285.0,0
엔진2톤,DIV-D20/35SE9,FDA2G-000317,"VALVE,MAIN CONTROL;4SEC",28,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),13.0,27.0,59.0,70.0,100.0,114.0,121.0,156.0,173.0,182.0,210.0,221.0,245.0,269.0,292.0,1
엔진2톤,DIV-G20/35E7,FGA1M-001296,"VALVE ASSY,CONTROL;3S",349,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,20.0,37.0,58.0,72.0,93.0,106.0,131.0,153.0,171.0,196.0,201.0,232.0,252.0,276.0,293.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-000469,"VALVE,MAIN CONTROL;4SEC",39,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),13.0,34.0,41.0,76.0,100.0,114.0,134.0,142.0,169.0,196.0,210.0,222.0,257.0,276.0,292.0,0
엔진2톤,DIV-D20/35SE9,FDA2J-000183,"VALVE,MAIN CONTROL;4SEC",53,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),10.0,24.0,54.0,72.0,82.0,119.0,127.0,145.0,176.0,193.0,219.0,228.0,260.0,261.0,285.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001207,"VALVE,MAIN CONTROL;4SEC",453,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),19.0,24.0,59.0,66.0,99.0,112.0,130.0,141.0,168.0,188.0,218.0,239.0,241.0,267.0,297.0,1
리치트럭,DIV-BR13/25S9,FRA0S-000612,"VALVE,MAIN CONTROL;3WAY",480,Leak,부품,파카코리아(주),Incheon-Korea(CS02),11.0,40.0,49.0,76.0,95.0,112.0,139.0,142.0,171.0,194.0,206.0,239.0,243.0,274.0,287.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001555,"VALVE,MAIN CONTROL;4SEC",45,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),9.0,27.0,56.0,68.0,92.0,111.0,131.0,145.0,162.0,192.0,203.0,221.0,247.0,276.0,299.0,0
엔진7톤,DIV-D60/90S(C)9,FDB21-000477,"VALVE ASSY,CONTROL;4SPOOL",125,작동불량,부품,발보일플루이드파워코리아,Incheon-Korea(CS02),13.0,36.0,47.0,76.0,97.0,103.0,136.0,160.0,165.0,196.0,201.0,229.0,260.0,262.0,283.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2B-000464,"VALVE,MAIN CONTROL;3 SPOOL",147,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,6.0,39.0,50.0,76.0,88.0,107.0,125.0,151.0,171.0,191.0,201.0,236.0,255.0,269.0,300.0,0
엔진2톤,DIV-G20/35E7,FGA1M-003649,"VALVE ASSY,CONTROL;3S",10,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,12.0,31.0,54.0,66.0,85.0,101.0,137.0,159.0,161.0,194.0,204.0,229.0,246.0,265.0,297.0,0
엔진2톤,DIV-G20/35E7,FGA1M-003903,"VALVE ASSY,CONTROL;3 SECTION",349,작동불량,부품,경원기업,Incheon-DIVAC,17.0,35.0,55.0,79.0,92.0,104.0,130.0,150.0,164.0,198.0,216.0,234.0,259.0,271.0,293.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000416,"VALVE ASSY,CONTROL;MAIN",257,작동불량,부품,HYDRAFORCE INC,Incheon-DIVAC,10.0,28.0,47.0,63.0,88.0,116.0,134.0,148.0,172.0,197.0,214.0,222.0,250.0,274.0,292.0,0
엔진2톤,DIV-G20/35N7,FGA14-007462,"VALVE ASSY,CONTROL;3SECTION",32,작동불량,부품,경원기업,Incheon-DIVAC,4.0,23.0,49.0,75.0,88.0,116.0,132.0,155.0,168.0,196.0,210.0,222.0,255.0,279.0,286.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2B-000070,"VALVE,MAIN CONTROL;3 SPOOL","1,726",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVUK,13.0,34.0,45.0,74.0,87.0,118.0,133.0,150.0,177.0,195.0,211.0,228.0,253.0,269.0,299.0,0
리치트럭,DIV-BR13/25S9,FRA0T-000621,"VALVE,MAIN CONTROL;3WAY",101,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),17.0,28.0,43.0,75.0,98.0,108.0,125.0,158.0,180.0,183.0,216.0,225.0,260.0,278.0,284.0,0
엔진2톤,DIV-G20/35E7,FGA1N-001303,"VALVE ASSY,CONTROL;3 SECTION",159,간섭,부품,경원기업,Incheon-DIVAC,4.0,23.0,59.0,71.0,99.0,115.0,121.0,153.0,166.0,189.0,206.0,229.0,250.0,275.0,283.0,1
엔진2톤,DIV-G20/35N7,FGA14-007316,"VALVE ASSY,CONTROL;3S",307,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,1.0,27.0,55.0,67.0,96.0,105.0,123.0,148.0,169.0,181.0,219.0,231.0,244.0,279.0,286.0,1
엔진2톤,DIV-G20/35N7,FGA14-007672,"VALVE ASSY,CONTROL;3S",106,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,17.0,23.0,45.0,78.0,92.0,110.0,122.0,144.0,165.0,199.0,215.0,222.0,245.0,280.0,298.0,0
엔진2톤,DIV-D20/35SE9,FDA2G-000341,"VALVE,MAIN CONTROL;4SEC",207,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),1.0,32.0,41.0,61.0,83.0,108.0,135.0,157.0,163.0,192.0,212.0,237.0,248.0,278.0,287.0,1
엔진2톤,DIV-D20/35SE9,FDA2G-000365,"VALVE,MAIN CONTROL;3SEC",8,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),18.0,24.0,44.0,61.0,97.0,119.0,137.0,148.0,174.0,188.0,204.0,230.0,251.0,273.0,287.0,0
전동,DIV-B20/35S7,FBA32-001539,"VALVE,MAIN CONTROL;3SEC",96,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),17.0,30.0,48.0,73.0,87.0,106.0,135.0,154.0,173.0,185.0,203.0,238.0,255.0,270.0,297.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2D-000189,VALVE GP-SECTION-AUX 2,9,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,8.0,37.0,46.0,74.0,87.0,103.0,126.0,158.0,164.0,182.0,202.0,232.0,247.0,261.0,289.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000306,"VALVE,MAIN CONTROL;4SEC",521,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),8.0,35.0,42.0,62.0,96.0,101.0,136.0,154.0,174.0,196.0,215.0,223.0,249.0,273.0,294.0,1
전동,DIV-B20/25SE7,FBA36-002081,"VALVE,MAIN CONTROL;4SEC","1,179",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),2.0,25.0,43.0,63.0,95.0,110.0,128.0,146.0,180.0,196.0,206.0,223.0,248.0,266.0,298.0,1
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000533,"VALVE ASSY,CONTROL",246,Leak,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,3.0,22.0,51.0,68.0,93.0,116.0,125.0,158.0,168.0,190.0,210.0,233.0,253.0,272.0,282.0,0
엔진2톤,DIV-G20/35N7,FGA14-007341,"VALVE ASSY,CONTROL;3S",801,외관,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,15.0,29.0,53.0,73.0,83.0,113.0,139.0,145.0,170.0,189.0,210.0,222.0,254.0,268.0,291.0,0
엔진1톤,DIV-GC15/20S(C)9,FGA1K-000016,"VALVE ASSY;MCV-3S, D15S","1,937",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,20.0,30.0,55.0,63.0,96.0,103.0,126.0,148.0,179.0,197.0,211.0,225.0,254.0,277.0,291.0,1
엔진4톤,DIV-D35/55S(C)9,FDB43-000505,"VALVE,MAIN CONTROL;4SEC",345,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),18.0,26.0,42.0,75.0,94.0,108.0,125.0,151.0,164.0,190.0,219.0,232.0,248.0,276.0,290.0,0
엔진2톤,DIV-D20/35SE9,FDA2J-000221,"VALVE,MAIN CONTROL;4SEC",693,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),1.0,23.0,47.0,80.0,91.0,116.0,139.0,154.0,168.0,191.0,210.0,240.0,249.0,269.0,293.0,1
리치트럭,DIV-BR13/25S9,FRA0T-000622,"VALVE,MAIN CONTROL;3WAY",324,작동불량,기타,파카코리아(주),Incheon-Korea(CS02),10.0,39.0,58.0,70.0,99.0,104.0,127.0,142.0,164.0,186.0,211.0,234.0,257.0,265.0,299.0,0
리치트럭,DIV-BR13/25S9,FRA0U-000331,"VALVE,MAIN CONTROL;4WAY",379,작동불량,기타,파카코리아(주),Incheon-Korea(CS02),14.0,22.0,53.0,77.0,91.0,114.0,140.0,158.0,165.0,189.0,203.0,221.0,245.0,279.0,296.0,0
전동,DIV-B22/35X7,FBA19-000953,VALVE ASSY;TILT SECTION,271,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,9.0,38.0,42.0,69.0,83.0,111.0,123.0,149.0,162.0,184.0,203.0,236.0,250.0,275.0,297.0,0
리치트럭,DIV-BR13/25S9,FRA0T-000620,"VALVE,MAIN CONTROL;3WAY",230,작동불량,기타,파카코리아(주),Incheon-Korea(CS02),15.0,36.0,53.0,77.0,86.0,104.0,136.0,151.0,171.0,191.0,208.0,229.0,243.0,275.0,284.0,0
엔진2톤,DIV-D20/35SE9,FDA2J-000087,"VALVE,MAIN CONTROL;4SEC","1,323",작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),2.0,30.0,50.0,67.0,90.0,111.0,138.0,151.0,171.0,184.0,208.0,225.0,249.0,270.0,285.0,1
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000584,"VALVE ASSY,CONTROL",30,작동불량,기타,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,11.0,40.0,59.0,61.0,82.0,112.0,140.0,160.0,178.0,196.0,215.0,222.0,257.0,279.0,283.0,1
엔진2톤,DIV-D20/35S(C)9,FDA2E-000318,"VALVE,MAIN CONTROL;3 SPOOL",359,외관,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,6.0,33.0,56.0,79.0,92.0,110.0,138.0,145.0,170.0,186.0,205.0,221.0,256.0,263.0,287.0,0
리치트럭,DIV-BR13/25S9,FRA0U-000331,"VALVE,MAIN CONTROL;4WAY",484,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),8.0,22.0,52.0,63.0,100.0,119.0,138.0,159.0,175.0,186.0,202.0,221.0,260.0,272.0,289.0,0
리치트럭,DIV-BR13/25S9,FRA0T-000621,"VALVE,MAIN CONTROL;3WAY",230,작동불량,기타,파카코리아(주),Incheon-Korea(CS02),16.0,40.0,46.0,66.0,83.0,119.0,130.0,146.0,163.0,197.0,217.0,227.0,250.0,280.0,293.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-000544,"VALVE,MAIN CONTROL;3SEC","1,533",작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),7.0,24.0,58.0,72.0,100.0,112.0,128.0,157.0,179.0,194.0,220.0,233.0,242.0,263.0,285.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000223,"VALVE,MAIN CONTROL;4SEC","1,571",작동불량,부품,신진정밀(주),Incheon-Korea(CS02),20.0,26.0,60.0,65.0,100.0,105.0,131.0,154.0,172.0,182.0,208.0,228.0,248.0,271.0,298.0,1
엔진4톤,DIV-D35/55S(C)9,FDB43-000807,"VALVE,MAIN CONTROL;4SEC",16,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),18.0,24.0,48.0,72.0,99.0,119.0,136.0,153.0,161.0,182.0,202.0,236.0,250.0,267.0,288.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001125,"VALVE,MAIN CONTROL;4SEC","1,079",작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,35.0,47.0,74.0,83.0,112.0,136.0,159.0,165.0,192.0,210.0,240.0,257.0,275.0,289.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-000256,"VALVE,MAIN CONTROL;4SEC",147,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,29.0,60.0,63.0,91.0,120.0,132.0,144.0,170.0,188.0,208.0,238.0,249.0,262.0,294.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000597,"VALVE ASSY,CONTROL",26,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,7.0,25.0,48.0,69.0,91.0,112.0,128.0,159.0,162.0,184.0,218.0,228.0,255.0,270.0,292.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000444,"VALVE ASSY,CONTROL","1,087",작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,11.0,24.0,49.0,80.0,82.0,120.0,133.0,152.0,177.0,198.0,212.0,236.0,260.0,262.0,284.0,0
엔진2톤,DIV-G20/35N7,FGA15-002450,"VALVE ASSY,CONTROL;3S","2,091",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,12.0,24.0,52.0,71.0,87.0,114.0,135.0,143.0,174.0,183.0,213.0,225.0,253.0,277.0,287.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000572,"VALVE ASSY,CONTROL",129,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,16.0,31.0,53.0,61.0,82.0,113.0,130.0,149.0,174.0,184.0,205.0,236.0,252.0,265.0,289.0,0
엔진2톤,DIV-G20/35E7,FGA1N-000560,"VALVE ASSY,CONTROL;4S,D25S","1,011",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,24.0,55.0,65.0,95.0,117.0,122.0,150.0,162.0,181.0,216.0,232.0,260.0,269.0,292.0,0
